date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,resting_hr_ma7,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly
2025-02-13,72.0,51.0,9.1,95.0,231.0,124.0,72.71428571428571,False,False,False,False,True,True,True
2025-02-14,64.0,61.0,4.8,92.0,397.0,124.0,71.0,False,False,False,False,False,True,True
2025-02-15,61.0,89.0,11.2,88.0,443.0,0.0,68.85714285714286,False,False,False,False,False,False,False
2025-02-16,56.0,89.0,5.4,90.0,418.0,14.0,66.0,False,False,False,False,False,False,False
2025-02-17,68.0,57.0,6.6,94.0,133.0,49.0,65.42857142857143,False,False,False,False,True,False,True
2025-02-17,68.0,57.0,6.6,89.0,372.0,127.0,65.85714285714286,False,False,False,False,False,True,True
2025-02-18,57.0,78.0,5.1,85.0,399.0,127.0,63.714285714285715,False,False,False,False,False,True,True
2025-02-19,54.0,89.0,6.5,86.0,436.0,0.0,61.142857142857146,False,False,False,False,False,False,False
2025-02-20,57.0,75.0,6.7,88.0,436.0,19.0,60.142857142857146,False,False,False,False,False,False,False
2025-02-22,62.0,67.0,5.7,88.0,323.0,32.0,60.285714285714285,False,False,False,False,True,False,True
2025-02-23,61.0,65.0,7.0,89.0,480.0,88.0,61.0,False,False,False,False,False,True,True
2025-02-23,61.0,65.0,7.0,100.0,77.0,48.0,60.0,False,False,False,False,True,False,True
2025-02-23,61.0,65.0,7.0,87.0,372.0,48.0,59.0,False,False,False,False,False,False,False
2025-02-23,59.0,80.0,6.8,89.0,480.0,88.0,59.285714285714285,False,False,False,False,False,True,True
2025-02-23,59.0,80.0,6.8,100.0,77.0,48.0,60.0,False,False,False,False,True,False,True
2025-02-23,59.0,80.0,6.8,87.0,372.0,48.0,60.285714285714285,False,False,False,False,False,False,False
2025-02-25,56.0,74.0,5.7,87.0,360.0,43.0,59.42857142857143,False,False,False,False,False,False,False
2025-02-25,56.0,74.0,5.7,90.0,319.0,75.0,58.714285714285715,False,False,False,False,True,True,True
2025-02-25,55.0,92.0,6.7,87.0,360.0,43.0,57.857142857142854,False,False,False,False,False,False,False
2025-02-25,55.0,92.0,6.7,90.0,319.0,75.0,57.0,False,False,False,False,True,True,True
2025-02-26,57.0,98.0,4.5,89.0,469.0,111.0,56.714285714285715,False,False,False,False,False,True,True
2025-03-01,62.0,71.0,13.0,93.0,433.0,71.0,57.142857142857146,False,False,False,False,False,True,True
2025-03-01,,,0.0,93.0,433.0,71.0,56.833333333333336,False,False,False,False,False,True,True
2025-03-02,79.0,37.0,5.8,88.0,452.0,65.0,60.666666666666664,False,True,False,False,False,True,True
2025-03-03,60.0,90.0,6.0,95.0,490.0,64.0,61.333333333333336,False,False,False,False,False,True,True
2025-03-04,52.0,93.0,9.7,92.0,441.0,26.0,60.833333333333336,False,False,False,False,False,False,False
2025-03-07,,,4.3,,,,62.0,False,False,False,False,False,False,False
2025-03-08,60.0,87.0,18.4,89.0,281.0,34.0,62.6,False,False,True,False,True,False,True
2025-03-09,81.0,32.0,7.9,92.0,142.0,127.0,66.4,False,True,False,False,True,True,True
2025-03-09,81.0,32.0,7.9,86.0,335.0,109.0,68.83333333333333,False,True,False,False,True,True,True
2025-03-10,52.0,97.0,4.2,95.0,361.0,127.0,64.33333333333333,False,False,False,False,False,True,True
2025-03-10,52.0,97.0,4.2,91.0,346.0,60.0,63.0,False,False,False,False,True,False,True
2025-03-10,54.0,94.0,6.2,95.0,361.0,127.0,63.333333333333336,False,False,False,False,False,True,True
2025-03-10,54.0,94.0,6.2,91.0,346.0,60.0,62.0,False,False,False,False,True,False,True
2025-03-11,54.0,82.0,6.1,93.0,433.0,90.0,61.142857142857146,False,False,False,False,False,True,True
2025-03-12,52.0,78.0,11.3,96.0,384.0,79.0,57.0,False,False,False,False,False,True,True
2025-03-13,56.0,78.0,13.3,95.0,306.0,81.0,53.42857142857143,False,False,False,False,True,True,True
2025-03-15,73.0,45.0,17.5,81.0,428.0,127.0,56.42857142857143,False,False,True,True,False,True,True
2025-03-16,85.0,27.0,7.0,92.0,374.0,94.0,61.142857142857146,False,True,False,False,False,True,True
2025-03-16,85.0,27.0,7.0,96.0,452.0,119.0,65.57142857142857,False,True,False,False,False,True,True
2025-03-16,60.0,84.0,11.6,92.0,374.0,94.0,66.42857142857143,False,False,False,False,False,True,True
2025-03-16,60.0,84.0,11.6,96.0,452.0,119.0,67.28571428571429,False,False,False,False,False,True,True
2025-03-18,69.0,73.0,4.8,88.0,554.0,96.0,69.71428571428571,False,False,False,False,False,True,True
2025-03-18,69.0,73.0,4.8,90.0,375.0,86.0,71.57142857142857,False,False,False,False,False,True,True
2025-03-18,60.0,72.0,6.1,88.0,554.0,96.0,69.71428571428571,False,False,False,False,False,True,True
2025-03-18,60.0,72.0,6.1,90.0,375.0,86.0,66.14285714285714,False,False,False,False,False,True,True
2025-03-19,55.0,71.0,5.8,93.0,442.0,5.0,61.857142857142854,False,False,False,False,False,False,False
2025-03-21,55.0,72.0,4.3,91.0,383.0,19.0,61.142857142857146,False,False,False,False,False,False,False
2025-03-23,55.0,79.0,14.4,91.0,331.0,66.0,60.42857142857143,False,False,True,False,True,True,True
